глагол,частота
sjediniti,31
razoružati,31
trčeti,31
orijentisati,30
zakazati,30
ponositi,30
spekulisati,30
razložiti,30
smisliti,30
adaptirati,30
skidati,30
ohrabrivati,30
mijenjati,30
suniti,30
proveravati,30
ispaliti,30
razrađivati,30
modernizovati,30
mobilisati,30
igrasti,30
gospodariti,30
buditi,30
pozajmiti,30
topasti,30
otežati,30
kositi,30
pridobivati,30
izumrlati,30
simbolisati,30
obogaćivati,30
dosegniti,30
uveravati,30
silovati,30
delegati,30
zaboravljati,30
gravitirati,30
letiti,30
odasti,30
poklopiti,30
dirati,30
preteći,29
imitirati,29
eksperimentisati,29
doživjeti,29
dopuniti,29
taložiti,29
donijeti,29
sprijateljiti,29
opstajati,29
pokriti,29
poseći,29
sabrati,29
oživljavati,29
izvirati,29
iskorišćavati,29
useliti,29
prožimati,29
priuštiti,29
ubirati,29
potresati,29
nadživeti,29
poručivati,29
svađati,29
okriviti,29
sirati,29
okrući,29
pravdati,29
potpomoći,29
postupiti,29
isplaćivati,29
strahovati,29
uznemiravati,29
plaći,29
oslići,29
propisati,28
sočivati,28
površiti,28
afirmisati,28
investirati,28
produbiti,28
doživiti,28
štavisati,28
sejati,28
preimenovati,28
zarobljavati,28
uspijevati,28
suspendovati,28
zabrana,28
podupirati,28
nadoknaditi,28
opusteti,28
provaliti,28
simulirati,28
otploviti,28
spirati,28
ubeđivati,28
otrovati,28
zaklinjati,28
silaziti,28
udaviti,28
množiti,28
upražnjavati,28
sklanjati,28
razarati,28
poslatati,28
pokvariti,28
meteoriti,28
ispoštovati,28
soliti,28
sužavati,28
skončati,28
ispisati,27
dopunjivati,27
sudariti,27
asocirati,27
posviti,27
poveravati,27
slijediti,27
gasiti,27
doniteti,27
obolesti,27
izumrliti,27
zapovediti,27
digliti,27
istupati,27
propovediti,27
zapleniti,27
iznajmiti,27
doputovati,27
napominjati,27
pobrinuti,27
dokumentovati,27
skraćivati,27
proklamovati,27
ječati,27
primoravati,27
preobraziti,27
zovesti,27
razrešavati,27
prekršiti,27
izuzeti,27
sudarati,27
demantovati,27
obesiti,27
popiti,27
tragati,27
opirati,27
katalizovati,27
obznaniti,27
skladištiti,27
uručiti,27
prodroti,27
suzbivati,27
isploviti,27
proslediti,27
dizati,27
prosti,26
sabirati,26
uvlačiti,26
razbesneti,26
manipulisati,26
izjednačavati,26
poremetiti,26
osvetljavati,26
nalikovati,26
kuvati,26
otimati,26
umiriti,26
istiniti,26
ustvariti,26
hapsiti,26
razočarati,26
uvući,26
prisiti,26
oklevati,26
dopunjavati,26
opredeljivati,26
odolevati,26
isteći,26
lediti,26
odleteti,26
upuštati,26
gađati,26
iskorištavati,26
spašavati,26
uploviti,26
htiti,26
isparavati,26
pokoravati,26
proreći,26
penzionisati,26
komplikovati,26
izjava,26
zaraziti,26
spojati,26
osveštati,26
locirati,26
poubijati,26
utopiti,25
šetati,25
kontaktirati,25
ismevati,25
stagnirati,25
umnožavati,25
presreti,25
izbjeći,25
zabilježiti,25
ublažavati,25
posjetiti,25
dodirnuti,25
razilaziti,25
čati,25
zagospodariti,25
podlegati,25
tući,25
naraviti,25
sećati,25
prezentovati,25
susreti,25
opremiti,25
upiti,25
dopadati,25
iskovati,25
doticati,25
iseljavati,25
ničati,25
izbaviti,25
isporučivati,25
ostali,25
vavljati,25
ispisivati,25
privesti,25
udovoljiti,25
proživeti,25
pjevati,25
dopisivati,25
vaspitavati,25
osposobiti,24
prijavljivati,24
prednjačiti,24
produživati,24
procjenjivati,24
rangirati,24
prepoznuti,24
dostavljati,24
proputovati,24
nadvladati,24
poučavati,24
prodrliti,24
odslužiti,24
zaći,24
spaljivati,24
svrgustiti,24
povinovati,24
nadzirati,24
izliti,24
koordinirati,24
osujetiti,24
pobuditi,24
radovati,24
pripajati,24
uznemiriti,24
nadmašivati,24
snalaziti,24
prosleđivati,24
zagrejati,24
ispaljivati,24
odraditi,24
odvući,24
