word,rank,neighbor,score
prodavati,4.0,prodavca,0.8782229423522949
prodavati,5.0,prodavci,0.8766639232635498
prodavati,6.0,prodavaca,0.8719570636749268
prodavati,7.0,prodavac,0.8657371401786804
prodavati,8.0,prodavala,0.8605197072029114
prodavati,9.0,prodavane,0.858104407787323
prodavati,10.0,prodavan,0.8541715741157532
predavati,,,
izdavati,1.0,izdati,0.8966233134269714
izdavati,2.0,izdavaču,0.8867847323417664
izdavati,3.0,izdavače,0.88216233253479
izdavati,4.0,izdavaštvu,0.8725512623786926
izdavati,5.0,izdavačem,0.8588513135910034
izdavati,6.0,izdavači,0.8552283048629761
izdavati,7.0,izdavaštvo,0.852454662322998
izdavati,8.0,izdavaštva,0.8491612672805786
izdavati,9.0,izdavačke,0.8352242112159729
izdavati,10.0,izdavala,0.833929181098938
napisati,1.0,zapisati,0.9069027304649353
napisati,2.0,pisati,0.8961716890335083
napisati,3.0,napisah,0.8573523759841919
napisati,4.0,opisati,0.8484706878662109
napisati,5.0,upisati,0.8402035236358643
napisati,6.0,pripisati,0.8398337364196777
napisati,7.0,napisu,0.8305070996284485
napisati,8.0,napisemo,0.8287274241447449
napisati,9.0,napisanu,0.8265846371650696
napisati,10.0,napisane,0.8189025521278381
upisati,1.0,staupisati,0.8988341093063354
upisati,2.0,zapisati,0.8829691410064697
upisati,3.0,grupisati,0.8780776858329773
upisati,4.0,pisati,0.8603558540344238
upisati,5.0,upisivati,0.8554841876029968
upisati,6.0,opisati,0.8411497473716736
upisati,7.0,napisati,0.8402036428451538
upisati,8.0,pripisati,0.8307589292526245
upisati,9.0,deklarisati,0.8174329996109009
upisati,10.0,izbrisati,0.8001484870910645
doživeti,1.0,oživeti,0.9578515887260437
doživeti,2.0,doživjeti,0.911266028881073
doživeti,3.0,doživi,0.9033016562461853
doživeti,4.0,dožive,0.8953726291656494
doživeti,5.0,zaživeti,0.8921751976013184
doživeti,6.0,doživele,0.8821969628334045
doživeti,7.0,doživeo,0.8814562559127808
doživeti,8.0,doživelo,0.8801094889640808
doživeti,9.0,živeti,0.875672459602356
doživeti,10.0,preživeti,0.8704153299331665
preživeti,1.0,preživi,0.9247599840164185
preživeti,2.0,prežive,0.921845555305481
preživeti,3.0,preživeo,0.911834716796875
preživeti,4.0,preživele,0.910407304763794
preživeti,5.0,preživelo,0.908648669719696
preživeti,6.0,oživeti,0.9066501259803772
preživeti,7.0,preživari,0.9048573970794678
preživeti,8.0,preživeli,0.9032202959060669
preživeti,9.0,preživela,0.8912003040313721
preživeti,10.0,preživelih,0.8896004557609558
odigrati,1.0,igrati,0.9029839038848877
odigrati,2.0,odigra,0.8643872737884521
odigrati,3.0,odigralo,0.8636285662651062
odigrati,4.0,odigrane,0.8561628460884094
odigrati,5.0,odigrao,0.8474249839782715
odigrati,6.0,odigrava,0.8458005785942078
odigrati,7.0,odigrala,0.8439857959747314
odigrati,8.0,odigrale,0.8431501388549805
odigrati,9.0,odigrana,0.8348297476768494
odigrati,10.0,odigrali,0.8306146860122681
prebaciti,1.0,prebaciš,0.9318231344223022
prebaciti,2.0,prebaci,0.930054247379303
prebaciti,3.0,prebacivati,0.9284566044807434
prebaciti,4.0,prebacite,0.9238502979278564
prebaciti,5.0,prebacimo,0.9200153946876526
prebaciti,6.0,prebacim,0.9089435338973999
prebaciti,7.0,prebacuješ,0.8923670053482056
prebaciti,8.0,prebace,0.8860447406768799
prebaciti,9.0,prebacivao,0.8813459873199463
prebaciti,10.0,prebacili,0.877684473991394
izbaciti,1.0,izbaci,0.895704984664917
izbaciti,2.0,izbacite,0.8877454400062561
izbaciti,3.0,izbacimo,0.8834584355354309
izbaciti,4.0,ubaciti,0.8831488490104675
izbaciti,5.0,baciti,0.8804555535316467
izbaciti,6.0,izbacim,0.8677248358726501
